['80005', '278907']
['80015', '280307']
['80031', '269506']
['80033', '190301']
['80035', '200102']
['80040', '193601']
['80058', '299508']
['80061', '406514']
['80068', '265806']
['80070', '344810']
['80075', '436216']
['80078', '151999']
['80081', '098996']
['80085', '289707']
['80087', '258905']
['80089', '433115']
['80097', '296208']
['80101', '173000']
['80104', '359511']
['80115', '399514']
['80125', '416814']
['80126', '054993', '143298', '294908']
['80138', '072294']
['80142', '281207']
['80148', '192601']
['80154', '388113']
['80165', '228204']
['80170', '094895']
['80178', '292907']
['80181', '075894']
['80199', '426815']
['80213', '147599']
['80218', '046792']
['80223', '302908']
['80273', '174200']
['80294', '366212']
['80308', '132798']
['80314', '196502']
['80320', '050292']
['80321', '332110']
['80331', '133298']
['80350', '438416']
['80358', '390813']
['80372', '363311']
['80389', '366712']
['80397', '126497']
['80398', '119297']
['80406', '368512']
['80431', '380612']
['80463', '119097']
['80469', '209402']
['80471', '169400']
['80479', '084095']
['80493', '072794']
['80495', '079494']
['80496', '351911']
['80501', '438216']
['80502', '069394']
['80509', '281607']
['80514', '197502']
['80552', '402614']
['80579', '080094', '329510']
['80583', '310308']
['80588', '163500']
['80601', '251905']
['80635', '350911']
['80645', '045392']
['80660', '197502']
['80671', '350811']
['80682', '064193']
['80696', '169300']
['80701', '201502']
['80703', '228004']
['80735', '194802', '331910']
['80751', '403414']
['80756', '177800']
['80779', '077094']
['80780', '066593', '280207']
['80783', '119997']
['80789', '322109']
['80791', '331610']
['80797', '262206']
['80801', '228304']
['80803', '301408']
['80805', '158399']
['80810', '212303']
['80821', '250305']
['80826', '318209']
['80827', '390613']
['80830', '065093']
['80839', '218503']
['80851', '103896']
['80857', '362511']
['80874', '044592']
['80893', '292407']
['80898', '320609']
['80903', '128497']
['80906', '318709']
['80931', '142698']
['80932', '224603']
['80960', '348911']
['80972', '345210']
['80985', '134198']
['80988', '259105']
['81000', '155799']
['81005', '144698']
['81007', '401514']
['81010', '329310', '387713']
['81016', '237104']
['81027', '212903']
['81030', '317309']
['81035', '251705', '253505']
['81036', '047392']
['81038', '410114']
['81039', '102596', '106896']
['81043', '166400', '374912']
['81044', '300508']
['81060', '048192', '049292']
['81067', '117197', '417515']
['81072', '260605']
['81074', '405814']
['81076', '185201']
['81080', '361211']
['81093', '227104']
['81108', '113096']
['81117', '278307']
['81123', '380012']
['81144', '376812']
['81168', '297208']
['81176', '119097']
['81178', '205502']
['81186', '239004']
['81191', '404914']
['81194', '239004']
['81212', '401414']
['81231', '096795', '409614']
['81236', '305008']
['81241', '411114']
['81259', '103396']
['81261', '252305']
['81272', '327709']
['81274', '301208']
['81286', '257905']
['81295', '400514']
['81305', '266806']
['81323', '390013']
['81325', '393113']
['81342', '396813']
['81349', '191001']
['81352', '392913']
['81370', '421415']
['81371', '184601']
['81379', '167100']
['81388', '080394']
['81415', '402814']
['81426', '098196']
['81431', '385213']
['81432', '095895']
['81448', '169700']
['81449', '238404']
['81454', '207702']
['81459', '218403']
['81460', '100696']
['81463', '254105']
['81467', '301708']
['81468', '243505']
['81485', '320209']
['81494', '131398']
['81508', '069094']
['81516', '178501']
['81523', '109996']
['81542', '064593']
['81543', '245405']
['81546', '352711']
['81549', '377212']
['81556', '108896']
['81570', '313909']
['81573', '260105', '368612']
['81603', '214703']
['81637', '211403']
['81640', '084895']
['81647', '345310']
['81650', '315909']
['81652', '067494', '286807', '430515']
['81653', '394213']
['81667', '215203']
['81670', '420515']
['81687', '246705']
['81703', '132498']
['81726', '278507']
['81729', '147299', '391213']
['81739', '317709']
['81750', '325909']
['81763', '216103']
['81773', '347511']
['81776', '346411']
['81799', '127197']
['81805', '318609']
['81818', '060493']
['81883', '407614']
['81892', '148199']
['81904', '280707']
['81910', '057493']
['81914', '408414']
['81917', '043292']
['81919', '176400']
['81920', '062493']
['81925', '340310']
['81933', '197802']
['81936', '174000']
['81938', '192201']
['81941', '360111']
['81953', '173100']
['81954', '070694']
['81957', '235304']
['81964', '214903', '312709']
['81971', '418615']
['81982', '180901']
['81994', '178501']
['82006', '112896', '146599']
['82014', '157299']
['82032', '374012']
['82036', '180001']
['82037', '280707']
['82038', '077094']
['82065', '102896']
['82066', '111896']
['82068', '192901']
['82069', '424915']
['82088', '205302']
['82102', '437816']
['82108', '072894']
['82135', '370512']
['82137', '093295', '231404']
['82141', '279907']
['82142', '358211']
['82162', '132998']
['82168', '318009']
['82192', '243905']
['82205', '216403']
['82219', '294107']
['82220', '147299', '209202']
['82237', '313209']
['82247', '241404']
['82250', '100396']
['82256', '219003']
['82257', '298108']
['82260', '069494']
['82266', '067194', '408814']
['82269', '276106']
['82273', '231804']
['82274', '085995']
['82277', '252805']
['82285', '307608', '439716']
['82296', '108896']
['82299', '099096']
['82307', '108696']
['82320', '353211']
['82323', '229504']
['82329', '211903']
['82343', '227004']
['82345', '160199']
['82349', '115797']
['82351', '426315']
['82357', '209102']
['82359', '169400']
['82367', '195502']
['82372', '272206']
['82375', '062293']
['82402', '405714']
['82409', '229704']
['82413', '229304']
['82423', '359011']
['82424', '291907']
['82426', '431515']
['82442', '336010']
['82448', '432715']
['82487', '192301']
['82494', '051092']
['82506', '357911']
['82525', '082294']
['82530', '370612']
['82546', '247705']
['82548', '390213']
['82559', '359011']
['82560', '408314']
['82575', '308408']
['82592', '355911']
['82598', '288807']
['82631', '352911']
['82666', '128597']
['82678', '063693']
['82683', '298408']
['82710', '084995']
['82717', '057393']
['82722', '279007']
['82727', '355111']
['82734', '267606']
['82757', '166200']
['82761', '165300']
['82780', '292707']
['82791', '337510']
['82799', '156899']
['82809', '220203']
['82812', '126897']
['82813', '333010']
['82869', '337110']
['82871', '209302']
['82872', '140598']
['82886', '403514']
['82904', '114797']
['82907', '054793']
['82912', '432015']
['82914', '397413']
['82920', '128397']
['82935', '347011']
['82942', '135198']
['82944', '061293']
['82955', '404814']
['82988', '324409']
['82992', '267106']
['83044', '361911']
['83090', '212803']
['83093', '438516']
['83095', '076094']
['83098', '318909']
['83107', '334210']
['83111', '077594']
['83137', '103096']
['83140', '120197']
['83165', '108696']
['83168', '154899']
['83177', '266906']
['83217', '283107']
['83224', '090295']
['83226', '124197']
['83228', '284907']
['83229', '313909']
['83242', '056893']
['83264', '255305']
['83270', '418415']
['83286', '133198']
['83299', '263006']
['83315', '134298']
['83317', '126497']
['83318', '180601']
['83322', '399414']
['83323', '337110']
['83325', '255705']
['83328', '277806']
['83332', '274406']
['83349', '195502']
['83382', '077394']
['83403', '087695']
['83408', '325709']
['83409', '051193']
['83419', '396413']
['83440', '357011']
['83450', '079394']
['83454', '234904']
['83455', '045792']
['83462', '193401']
['83488', '183301']
['83501', '250405']
['83513', '290907']
['83539', '116897']
['83545', '304808']
['83565', '328810']
['83569', '104196']
['83579', '380112']
['83603', '051893']
['83608', '339010', '413514']
['83612', '311509']
['83618', '187701']
['83620', '370412']
['83624', '129197']
['83632', '239704']
['83647', '178901']
['83662', '226503']
['83675', '150499']
['83676', '426615']
['83681', '389513', '409414']
['83705', '121597']
['83707', '116697']
['83708', '213903']
['83721', '281407']
['83728', '144298']
['83730', '400814']
['83733', '085295']
['83740', '127297']
['83763', '075294']
['83764', '093795']
['83787', '330810']
['83794', '358911']
['83818', '236404']
['83822', '051393']
['83846', '107496']
['83861', '276306']
['83864', '075894']
['83873', '373112']
['83875', '152899']
['83878', '264506']
['83895', '346611']
['83915', '288707']
['83921', '413314']
['83924', '303608']
['83926', '347811']
['83945', '400214']
['83949', '230804']
['83952', '304608']
['83953', '080294']
['83955', '414414']
['83956', '319509']
['83970', '169400', '336510']
['83976', '280307']
['83979', '344810']
