['20007', '160399']
['20017', '427615']
['20020', '355411']
['20024', '375112']
['20046', '140298']
['20059', '420015']
['20079', '170400']
['20080', '430415']
['20081', '068794', '119597']
['20090', '319509']
['20094', '310408']
['20116', '227604']
['20132', '080794']
['20136', '360311']
['20172', '376112']
['20176', '301308']
['20188', '237604']
['20199', '042992']
['20215', '134998']
['20226', '153499']
['20229', '285807']
['20234', '396313']
['20239', '098796']
['20242', '191401']
['20249', '118197']
['20257', '369912']
['20258', '198602']
['20261', '166100']
['20317', '328109']
['20319', '238904']
['20329', '232604']
['20331', '149999']
['20338', '322009']
['20340', '193801']
['20361', '294507']
['20383', '043492']
['20386', '161099']
['20388', '277806']
['20391', '297608']
['20396', '402314']
['20397', '364612']
['20420', '147899']
['20425', '195602']
['20426', '094395']
['20430', '071594']
['20442', '247205']
['20446', '311909']
['20478', '109196']
['20480', '103096']
['20481', '371612', '375812']
['20485', '339710']
['20488', '095095']
['20500', '302408']
['20509', '367112']
['20513', '432815']
['20519', '403014']
['20529', '228704']
['20530', '339510', '404614']
['20545', '173000']
['20548', '229304']
['20559', '115997']
['20569', '326409']
['20572', '354411']
['20575', '044492']
['20578', '187901']
['20580', '421815']
['20583', '406414']
['20589', '041392']
['20590', '294407']
['20591', '048792']
['20593', '325309']
['20596', '362011']
['20599', '306108']
['20602', '082895']
['20605', '228504', '259205']
['20616', '088995']
['20624', '364412']
['20636', '071894']
['20649', '165400']
['20661', '042492', '192501']
['20686', '372612']
['20687', '343610']
['20690', '285607']
['20720', '383013']
['20741', '287307']
['20749', '382213']
['20778', '220403']
['20784', '314109']
['20787', '404514']
['20795', '419915']
['20812', '102496']
['20813', '113797']
['20825', '199202']
['20835', '046092']
['20852', '313409']
['20855', '212103']
['20879', '312009']
['20893', '281007']
['20894', '060993']
['20900', '283907']
['20912', '159099']
['20925', '177300']
['20947', '171800']
['20950', '435016']
['20953', '270506']
['20959', '160499']
['20961', '195402']
['20975', '043292']
['20991', '252205']
['20993', '126897', '152799']
['21006', '437016']
['21014', '149199']
['21032', '439116']
['21056', '231304']
['21058', '162600', '266806']
['21064', '432415']
['21082', '185801']
['21083', '132098']
['21085', '181101']
['21091', '217903']
['21094', '261006']
['21098', '391913']
['21104', '198202']
['21107', '087495']
['21130', '049292', '133498']
['21146', '318709']
['21150', '065693', '093695', '307808']
['21155', '392513']
['21157', '168700']
['21161', '208402']
['21168', '419615']
['21173', '303508']
['21179', '366712']
['21188', '207402']
['21190', '223903']
['21201', '071294']
['21204', '144398']
['21205', '204002']
['21220', '203402']
['21224', '369812']
['21238', '199602']
['21245', '064393']
['21258', '134098']
['21261', '360911']
['21263', '108996']
['21266', '359311']
['21271', '225803']
['21284', '342710']
['21286', '066293']
['21292', '040792']
['21299', '366312']
['21307', '364412']
['21313', '438616']
['21333', '208102']
['21340', '080894']
['21349', '262506']
['21351', '315309']
['21352', '078594']
['21378', '224603']
['21383', '064393']
['21393', '194902']
['21396', '172600']
['21404', '270606']
['21419', '413514']
['21442', '047192', '427115']
['21447', '342810']
['21462', '183101']
['21467', '117797', '353411']
['21480', '094195']
