['73186', '090195']
['73194', '045192', '122597']
['73195', '071094', '171500']
['73203', '149599']
['73204', '116197']
['73207', '204302']
['73215', '310608']
['73221', '147399']
['73228', '047092']
['73232', '330510']
['73235', '377112']
['73252', '142598']
['73275', '041492']
['73280', '327909']
['73283', '152099']
['73291', '271706']
['73301', '344310']
['73305', '336410']
['73321', '285207']
['73322', '224703']
['73328', '321309', '343110']
['73332', '401714']
['73357', '362611']
['73371', '352511']
['73391', '180301', '334610']
['73392', '152699']
['73393', '221703']
['73396', '107296']
['73406', '094795']
['73422', '373312']
['73424', '082995']
['73435', '088395']
['73436', '433815']
['73442', '429315']
['73445', '333110']
['73446', '096395']
['73455', '425115']
['73471', '349811']
['73485', '073394']
['73486', '097095']
['73489', '060693']
['73491', '124397']
['73493', '226803']
['73500', '318509']
['73513', '198102']
['73540', '233104']
['73545', '234804']
['73559', '382413']
['73561', '420815']
['73564', '374312']
['73565', '086795']
['73572', '315809']
['73582', '186501']
['73583', '117597']
['73592', '417014']
['73594', '130098']
['73612', '159299']
['73625', '395713']
['73631', '352611']
['73652', '414214']
['73656', '096695']
['73660', '181301']
['73673', '130098']
['73680', '369012']
['73690', '093795']
['73733', '312109']
['73761', '298208', '352311']
['73762', '293007']
['73780', '279707']
['73786', '290507']
['73788', '093795']
['73789', '153699']
['73790', '079894']
['73809', '301708']
['73822', '102496']
['73829', '179901']
['73838', '072094']
['73844', '399113']
['73853', '319609']
['73855', '085595', '413414']
['73862', '136598']
['73867', '086595']
['73875', '335110']
['73881', '252005']
['73883', '329310']
['73897', '217003']
['73903', '112696']
['73906', '310808']
['73932', '138998']
['73953', '186901']
['73963', '160499']
['73967', '304908']
['73993', '348311']
['74006', '054693']
['74007', '221203']
['74017', '054593', '286607']
['74021', '287507']
['74035', '426515']
['74062', '356411']
['74070', '352111']
['74081', '128097']
['74094', '407314']
['74096', '267006', '315909']
['74098', '067194', '339810']
['74104', '189901']
['74105', '205302']
['74118', '411914']
['74127', '122297']
['74148', '114997']
['74152', '087095']
['74179', '333110']
['74186', '070794']
['74196', '162400']
['74216', '121097']
['74233', '083495']
['74247', '102596']
['74266', '272106']
['74269', '266106']
['74270', '133798', '184801']
['74273', '372912']
['74310', '358011']
['74315', '270706']
['74329', '110296', '376712']
['74337', '410914']
['74338', '400014']
['74352', '143798', '297008']
['74371', '171900']
['74379', '224103']
