['50024', '189701']
['50026', '179101']
['50035', '198402']
['50040', '100196']
['50055', '385113']
['50069', '357611']
['50077', '134498']
['50098', '270206']
['50101', '304708']
['50104', '357111']
['50111', '257505']
['50149', '138998']
['50153', '243805']
['50155', '085995']
['50168', '167200']
['50172', '401314']
['50181', '238404', '383313']
['50183', '352811']
['50202', '385013']
['50212', '191801']
['50214', '096495']
['50215', '190501']
['50230', '400814']
['50244', '069994']
['50254', '161700']
['50263', '360111']
['50272', '137498']
['50276', '160999']
['50292', '253005']
['50296', '213203']
['50299', '293407']
['50321', '347511']
['50323', '206302']
['50325', '041592']
['50331', '067994']
['50337', '342210']
['50339', '100896']
['50341', '251205']
['50346', '365512']
['50347', '248805']
['50355', '275106']
['50360', '104796']
['50376', '098696']
['50379', '056193']
['50393', '346711']
['50407', '424515']
['50419', '099496']
['50437', '225603']
['50449', '123597']
['50459', '374112']
['50464', '381813']
['50472', '413914']
['50479', '377912']
['50482', '211903']
['50495', '083895']
['50496', '076294']
['50512', '100896']
['50539', '171700']
['50544', '170300']
['50561', '264306']
['50569', '231704']
['50579', '398713']
['50586', '125097']
['50595', '142998']
['50603', '429315']
['50608', '306008']
['50613', '411214']
['50616', '090995']
['50619', '107096']
['50630', '182401', '183801']
['50634', '155299']
['50639', '246605']
['50662', '049792']
['50664', '056793']
['50665', '181201']
['50669', '140898']
['50675', '209502', '378812']
['50678', '175200']
['50687', '050592']
['50691', '263406']
['50695', '107896']
['50732', '327209']
['50734', '125897']
['50736', '139198']
['50742', '219303', '435416']
['50746', '152499']
['50774', '276906']
['50775', '427415', '433615']
['50781', '059793']
['50808', '304008']
['50821', '309308']
['50824', '195102']
['50826', '200502']
['50836', '333910']
['50844', '366912']
['50870', '118697']
['50885', '087095']
['50888', '394813']
['50895', '124097']
['50902', '135898']
['50908', '080594']
['50911', '162500', '433215']
['50921', '316609']
['50922', '041992']
['50937', '106396']
['50939', '219303']
['50941', '194402']
['50969', '203702']
['51016', '346011']
['51018', '163800']
['51023', '182901']
['51039', '046092']
['51051', '107296']
['51056', '059493']
['51083', '209302']
['51090', '243304']
['51094', '163700']
['51100', '339110']
['51104', '074094']
['51107', '226603']
['51116', '399714']
['51118', '255505']
['51127', '256505']
['51136', '254905']
['51162', '073194']
['51167', '115897']
['51177', '305608']
['51190', '178801']
['51193', '293207']
['51198', '075994']
['51201', '386613']
['51206', '229804']
['51208', '256005']
['51210', '341510']
['51230', '047792']
['51244', '376612']
['51245', '043892', '183001']
['51255', '157599']
['51260', '422715']
['51279', '396013']
['51290', '168600']
['51301', '195902', '217303']
['51306', '316609']
['51314', '368512']
['51322', '389213']
['51334', '241804']
['51336', '053093', '220103', '262306']
['51349', '410314']
['51351', '414714']
['51361', '339210']
['51363', '105096']
['51364', '207702']
['51369', '061393']
['51374', '201302']
['51383', '248405']
['51386', '365512']
['51390', '200802']
['51403', '306308']
['51414', '287907']
['51420', '223903']
['51423', '362511']
['51428', '349511']
['51433', '317209']
['51442', '439616']
['51456', '160799']
['51463', '224703']
['51465', '170200']
['51471', '285907']
['51484', '066493']
['51486', '114697']
['51500', '088695', '353511']
['51534', '286207']
['51538', '140298']
['51543', '387313']
['51550', '157199']
['51555', '068494']
['51556', '198202']
['51562', '118497']
['51579', '147899']
['51580', '214803']
['51585', '062593']
['51590', '093195']
['51595', '221503']
['51597', '187501']
['51601', '148999']
['51624', '112596']
['51641', '133198']
['51642', '331010']
['51654', '357711']
['51682', '250005']
['51692', '237604']
['51698', '060793']
['51699', '078094']
['51710', '240204']
['51742', '275906']
['51744', '095795']
['51752', '411414']
['51776', '096995']
['51787', '421515']
['51810', '136498', '167300', '237804']
['51821', '382413']
['51824', '311709']
['51826', '392213']
['51852', '053493']
['51857', '172800']
['51866', '404514']
['51869', '379612']
['51875', '133698', '329710']
['51879', '246505']
['51903', '116097']
['51910', '380912']
['51911', '053893']
['51920', '189401']
['51926', '095195']
['51932', '283407']
['51934', '169100']
['51936', '110696']
['51945', '425215']
['51946', '390213']
['51954', '320909']
['51956', '306708']
['51959', '253605']
['51963', '084795']
['51970', '167600']
['51971', '369512']
['51972', '046392']
['51982', '422015']
['51984', '047692', '328510']
['51999', '071894']
['52002', '388713']
['52007', '387513']
['52012', '243905']
['52015', '133898']
['52034', '208202']
['52038', '317809']
['52047', '316809']
['52048', '321809']
['52064', '244205']
['52069', '331310']
['52075', '042792', '170800']
['52110', '310808']
['52115', '377612']
['52143', '305108']
['52159', '359911']
['52161', '241804']
['52163', '183601', '308708']
['52167', '390013']
['52182', '244505']
['52184', '074894']
['52202', '189801']
['52232', '432915']
['52248', '124297']
['52249', '091195']
['52251', '223803']
['52261', '263206']
['52266', '296508']
['52269', '222403']
['52303', '385113']
['52305', '292107']
['52311', '066193']
['52331', '079994']
['52339', '197102']
['52346', '247205']
['52366', '050092']
['52368', '373212']
['52369', '339110']
['52373', '122597']
['52385', '078694']
['52405', '111596']
['52414', '418215']
['52436', '354011']
['52446', '274506']
['52450', '416214']
['52459', '136898']
['52466', '202502']
['52481', '412114']
['52494', '042492']
['52507', '084095']
['52509', '083995']
['52518', '091895']
['52531', '080994']
['52533', '052693']
['52544', '402314']
['52552', '307308']
['52555', '274006']
['52559', '091995']
['52564', '327709']
['52567', '306708']
['52576', '165700']
['52577', '290907']
['52581', '321109']
['52589', '296808', '342710']
['52592', '374512']
['52594', '386813']
['52597', '093895']
['52611', '212303']
['52625', '412914']
['52634', '170400', '186301']
['52641', '364212']
['52654', '189101']
['52661', '402514']
