['60008', '222303']
['60034', '275306']
['60055', '377912']
['60066', '323009']
['60067', '396913']
['60078', '132498']
['60085', '051593']
['60089', '422215']
['60101', '360011']
['60110', '162900']
['60118', '209902']
['60130', '053793']
['60153', '297608']
['60159', '100296', '296108']
['60161', '133598']
['60164', '406414']
['60188', '387913']
['60193', '232204']
['60195', '177900', '319909']
['60196', '253805']
['60200', '057293', '196702']
['60205', '208902']
['60243', '422715']
['60245', '423915']
['60260', '165600']
['60265', '379212']
['60269', '338210']
['60274', '347411']
['60290', '362011']
['60295', '260605']
['60313', '236004']
['60315', '155299']
['60328', '284807']
['60331', '143298']
['60335', '163900']
['60343', '095695']
['60347', '064793']
['60349', '153199']
['60358', '381813']
['60360', '180501']
['60389', '130198', '334710']
['60390', '337210']
['60411', '393513']
['60414', '342110']
['60418', '072894']
['60427', '189701']
['60431', '290607']
['60433', '093095']
['60438', '372512']
['60452', '276006']
['60478', '317009']
['60483', '320409']
['60485', '260005']
['60494', '046592']
['60496', '109396', '181801', '363111']
['60498', '308208']
['60500', '429815']
['60501', '273306']
['60508', '279207']
['60516', '080094']
['60522', '328610']
['60529', '225603']
['60536', '196202']
['60543', '381312']
['60544', '320309']
['60556', '299308']
['60567', '344910']
['60568', '232504']
['60574', '185701']
['60577', '257805']
['60584', '337010']
['60589', '292607']
['60595', '060493']
['60629', '223703']
['60631', '240404']
['60635', '215403']
['60639', '332410']
['60641', '429215']
['60648', '132598']
['60650', '163300']
['60676', '089795']
['60680', '436416']
['60686', '258805']
['60694', '439616']
['60702', '177300']
['60718', '121997']
['60725', '324209']
['60731', '099996']
['60740', '111496']
['60746', '059293', '355211']
['60754', '279307']
['60755', '058493']
['60759', '113296']
['60760', '297308']
['60766', '276106']
['60767', '153399']
['60775', '348611']
['60787', '158999']
['60808', '282907']
['60825', '275006']
['60827', '209902']
['60838', '248605']
['60850', '187901']
['60868', '260505']
['60869', '144798']
['60883', '343110']
['60889', '344010']
['60902', '137198']
['60906', '231604']
['60910', '074494']
['60919', '195702']
['60920', '420115']
['60930', '061293', '233004']
['60933', '387013']
['60941', '114097']
['60945', '184701']
['60968', '429715']
['60969', '274906']
['60972', '049692']
['60979', '123697']
['60991', '084195']
['60993', '234104']
['60999', '341910']
['61016', '430015']
['61033', '358211']
['61060', '196102']
['61061', '166600', '187301']
['61113', '269406']
['61116', '289507']
['61117', '376512']
['61122', '378312']
['61125', '371512']
['61126', '328310']
['61133', '209702']
['61136', '078194']
['61137', '322509']
['61138', '168700', '282707']
['61140', '168700']
['61146', '078094']
['61148', '057393']
['61150', '433915']
['61168', '070494']
['61171', '246305']
['61174', '053193']
['61178', '434215']
['61187', '184301']
['61215', '100596']
['61216', '232104']
['61220', '368812']
['61228', '282007']
['61231', '112196']
['61232', '389813']
['61242', '154199']
['61243', '335010']
['61246', '141698']
['61247', '176000']
['61272', '207302']
['61273', '138598']
['61299', '235704']
['61300', '334810']
['61303', '419915']
['61313', '359411']
['61320', '052393', '364812']
['61327', '335510']
['61379', '118597']
['61381', '223903']
['61384', '238604']
['61394', '194302']
['61402', '153699']
['61404', '303008']
['61413', '144098']
['61414', '358311']
['61422', '188801']
['61424', '070294']
['61432', '272206']
['61438', '199102']
['61446', '411614']
['61457', '086395']
['61460', '136698']
['61461', '097195']
['61464', '091395']
['61469', '297008']
['61476', '090895']
['61477', '176600']
['61482', '077594']
['61485', '283507']
['61491', '048592']
['61492', '171100']
['61519', '169800']
['61532', '322309']
['61538', '200202']
['61543', '188301']
['61588', '174700']
['61592', '270506']
['61604', '382713']
['61612', '106696', '389113']
['61614', '229204']
['61622', '306008']
['61627', '419415']
['61628', '268606']
['61633', '245805']
['61642', '273406']
['61643', '325009']
['61648', '109496']
['61694', '116397']
['61699', '212403']
['61721', '265306']
['61722', '383313']
['61737', '329910']
['61741', '227604']
['61754', '399914', '434815']
['61756', '395213']
['61770', '164100']
['61789', '219803']
['61804', '313409']
['61813', '235704']
['61839', '119497']
['61842', '237904']
['61847', '113596']
['61864', '382913']
['61868', '356611']
['61869', '255605']
['61872', '227704']
['61874', '432115']
['61877', '368812']
['61888', '202502']
['61889', '089395']
['61902', '420715']
['61913', '236104']
['61919', '123197']
['61943', '309608']
['61951', '424815']
['61955', '058593']
['61965', '361511']
['61974', '200302']
['62002', '153399', '202802']
['62010', '306408']
['62021', '295708']
['62033', '337910']
['62034', '195802']
['62036', '393313']
['62046', '196402']
['62055', '422615']
['62065', '042292']
['62066', '082595']
['62067', '262606', '276306']
['62070', '057993', '405714']
['62079', '278907', '354811']
['62086', '057893']
['62087', '322809']
['62097', '381813']
['62100', '184201']
['62106', '343410']
['62107', '330010']
['62111', '235104', '425915']
['62115', '420215']
['62130', '147599']
['62133', '123097']
['62141', '045992', '258305']
['62150', '231004']
['62152', '267006']
['62153', '182401']
['62156', '180801', '430515']
['62164', '368712']
['62166', '432215']
['62170', '044492']
['62191', '049992']
['62204', '342610']
['62211', '344910']
['62217', '298908']
['62228', '040992']
['62250', '329210']
['62269', '222103']
['62270', '340610']
['62274', '425315']
['62279', '163600']
['62291', '219403']
['62295', '344410']
['62310', '231404']
['62331', '113496']
['62350', '372112']
['62352', '218503']
['62363', '254005']
['62366', '249905']
['62369', '340010']
['62370', '341110']
['62376', '170400']
['62379', '222503']
['62381', '166400']
['62390', '223203']
['62399', '354611']
['62412', '103996']
['62424', '367412']
['62432', '305808']
['62455', '236504']
['62461', '098296']
['62470', '131498', '198902']
['62477', '124597']
['62484', '333310']
['62485', '079894']
['62496', '435616']
['62541', '147899']
['62562', '254005']
['62573', '109596']
['62575', '404414']
['62576', '383713']
['62583', '208702', '352311']
['62585', '421115']
['62598', '398213']
['62606', '393713']
['62614', '134598', '148299']
['62616', '195802']
['62646', '392013']
['62650', '320809']
['62663', '361611']
['62667', '099596', '411914']
['62672', '122697']
['62676', '054893']
['62688', '042392']
['62692', '045692']
['62702', '199002']
['62703', '222003']
['62704', '138198']
['62730', '137098']
['62731', '091995']
['62741', '308008']
['62745', '296708']
['62749', '398413']
['62765', '048492']
['62807', '281407']
['62809', '181701']
['62834', '185301']
['62839', '226703']
['62873', '292807']
['62895', '062793']
['62899', '159299']
['62908', '257605']
['62911', '245605']
['62920', '235504']
['62922', '416214']
['62950', '320309']
['62951', '313209']
['62970', '215503']
['62984', '091395']
['62987', '350111']
['62989', '060093']
['63007', '359611']
