439816,20160405,8916,9405,9346,7733,8847,1196,7116,7244,1626,1952,6383,6166,7498,6749,7527,8197,1179,6536,5386,3425,3669,7320,8225
439916,20160406,3592,9251,8602,7215,5963,2327,0076,1939,9175,1941,5574,6804,1461,9097,2728,9250,9204,2228,0040,8768,6710,7120,0108
440016,20160409,2569,1426,6244,0402,5387,3639,3451,1718,8757,4035,1639,4837,6581,2610,8337,3532,0866,7163,8962,4641,4516,7199,0849
440116,20160410,8943,8733,1148,8884,8958,0679,5700,6865,1289,0031,6425,8605,7514,3606,1868,3080,3092,8176,9047,7393,7640,1430,0170
440216,20160413,9725,4861,4048,0523,9723,5193,5660,8345,4179,5039,3866,2841,9272,7870,1407,0657,6256,1483,2622,4036,6314,3096,3509
440316,20160416,0048,9208,5336,9528,2729,0413,9401,7716,5496,8271,8382,9742,1251,3528,9322,7502,3094,7758,6437,7303,0590,4092,0907
440416,20160417,9708,3311,3898,0129,6384,0989,0354,5391,5590,2572,7108,5290,2846,4178,2710,5590,7418,4470,7132,9144,5884,0671,5749
440516,20160420,1233,2786,2634,9595,5920,8431,4272,9187,8246,6154,3021,2017,1505,0342,3301,3445,4339,9746,1662,8430,7653,9937,6044
440616,20160423,4370,3295,9093,4063,3332,9581,4484,4628,3245,1440,4353,7485,7982,4571,6557,1917,0029,2089,1037,0305,1316,1520,2167
440716,20160424,0188,1781,7838,9769,9376,6880,9395,4519,6595,4409,2606,3883,5296,1008,7525,4621,3129,6207,8308,8508,7367,8938,5872
440816,20160426,1582,6148,3812,0667,7080,2648,9947,5127,8847,0506,7188,1680,5529,1679,2106,8528,2023,8621,5855,9376,2572,1628,9116
440916,20160427,1620,1147,7186,7874,1657,1295,1046,8735,1883,1626,6000,7857,3007,8644,3802,5126,8083,5529,9934,7911,6190,1250,3541
441016,20160430,7842,6139,5841,2715,0303,8167,1814,2789,9459,9529,5844,8242,2517,6382,0663,2955,0773,4953,9550,3010,4426,6737,5343
441116,20160501,5136,7783,1360,6617,9390,3610,5474,5770,8092,5432,0280,0792,4839,4302,9178,4247,5898,7337,0789,6433,2573,5116,6943
441216,20160503,5816,3380,6056,5341,4925,3718,1831,6095,8638,1266,1204,2047,9350,3105,0835,2852,3054,4403,2149,3585,2557,7769,5410
441316,20160504,9136,7684,4926,8374,1641,8331,3545,7392,9811,1189,8025,9743,0107,9132,3331,8134,9228,2085,3851,8623,0576,5158,8556
441416,20160507,0218,5017,8836,5811,9172,9100,9444,3100,7225,5381,1606,1724,1976,4676,1663,0806,3810,5568,6652,2373,3017,2999,8040
441516,20160508,8532,9927,4366,7249,7533,5874,1927,9123,9736,4451,9934,6170,6181,0850,2567,4020,5532,7320,8109,7170,8698,8568,6888
441616,20160511,6527,3970,4716,0909,2360,1600,7124,0734,9737,6486,2370,3636,4592,0725,8633,9747,2497,8627,5301,5296,3976,0788,5032
441716,20160514,1653,7528,2643,4037,9016,5042,3679,3038,9104,0135,3738,0004,5233,3463,9162,1874,2915,0867,5094,6556,1861,9130,4288
441816,20160515,8119,1710,9251,4492,6030,5202,3133,0559,2155,5345,6713,7654,6071,1856,3833,1734,7783,7868,8525,9168,0716,8249,8258
441916,20160518,8550,4609,2032,5500,1937,1534,0555,0099,1156,6671,3408,8459,0252,8783,9137,6562,3043,8421,3104,4036,9312,1114,8398
442016,20160521,4995,9199,4080,8509,2126,0261,2422,9569,7344,7134,1358,7835,5051,9680,7817,5658,1867,9614,5617,3349,9853,4348,2341
442116,20160522,8806,4453,1328,0992,8782,9477,2247,0956,4217,0747,0166,2421,1623,2107,4675,3488,4845,7886,4951,9148,6360,5253,9689
442216,20160525,8132,1500,7331,2650,1027,1941,1707,1457,7289,5540,5669,8992,6511,9700,4916,4896,9052,2620,1524,4085,5995,0951,2354
442316,20160528,7584,8899,0460,7674,9145,7272,6061,9689,3918,4697,5998,7488,6631,6218,6553,3016,7698,8387,0023,3865,6413,0860,3035
442416,20160529,0375,1607,2791,0040,5750,3676,7308,3531,2684,6575,8695,8213,6921,4612,3337,0326,8221,3143,3768,8510,0183,2625,8690
442516,20160531,6458,3702,8365,2498,1066,2340,4464,6314,1231,5922,5027,8155,9725,5615,8742,0174,4714,0149,9029,6512,7330,6359,1323
